default_payment_next_month,limit_bal,age,limit_used_sep,score_3mo,score_6mo,bill_amt_sep,bill_amt_aug,bill_amt_jul,bill_amt_jun,bill_amt_may,bill_amt_apr,pay_amt_sep,pay_amt_aug,pay_amt_jul,pay_amt_jun,pay_amt_may,pay_amt_apr,id,sex,education,marital_status,pay_sep,pay_aug,pay_jul,pay_jun,pay_may,pay_apr,pay_mode3,pay_mode3_cat,pay_sep_cat,pay_aug_cat,pay_jul_cat,pay_jun_cat,pay_may_cat,pay_apr_cat,age_cat
0,250000,29,0.283548,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,15,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,50000,23,1.0122799999999998,1,1,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,16,2,3,3,1,2,0,0,0,0,1,1,1,1,0,0,0,0,20-29
1,20000,24,0.7688,0,1,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,17,1,1,2,0,0,2,2,2,2,0,0,0,0,1,1,1,1,20-29
0,360000,49,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,1,1,1,-2,-2,-2,-2,-2,-2,-1,1,-1,-1,-1,-1,-1,40-49
0,180000,29,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,1,2,1,-2,-2,-2,-2,-2,-2,-1,1,-1,-1,-1,-1,-1,20-29
0,130000,39,0.2950615384615385,0,0,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,21,2,3,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,30-39
1,120000,39,0.002633333333333333,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,22,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30-39
1,70000,26,0.5869571428571428,1,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,23,2,2,2,2,0,0,2,2,2,0,0,1,0,0,1,1,1,20-29
1,450000,40,0.012248888888888887,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,24,2,1,1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,40-49
0,90000,23,0.05271111111111111,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,25,1,1,2,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,20-29
0,50000,23,0.9524,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,26,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
1,60000,27,-0.0018166666666666667,0,0,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,27,1,1,2,1,-2,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,20-29
0,50000,30,0.45082,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,28,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
0,50000,47,0.013000000000000001,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,29,2,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40-49
0,50000,26,0.30658,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,30,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,230000,27,0.07237391304347826,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,31,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20-29
1,50000,33,0.61036,1,1,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,32,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,30-39
0,100000,32,0.9303600000000001,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,33,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
0,500000,58,0.027418,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,35,1,1,1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,50-59
0,160000,30,0.18915625,-1,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,36,1,1,2,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,30-39
0,280000,40,0.6660821428571428,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,37,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40-49
0,60000,22,0.2509,0,0,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,38,2,2,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,20-29
1,50000,25,0.0,0,0,0,780,0,0,0,0,780,0,0,0,0,0,39,1,1,2,1,-1,-1,-2,-2,-2,-1,-1,1,-1,-1,-1,-1,-1,20-29
0,280000,31,0.0017785714285714286,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,40,1,1,2,-1,-1,2,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,30-39
0,70000,25,0.9645857142857144,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,42,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,10000,22,0.1877,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,43,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,140000,37,0.4250285714285714,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,44,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
0,40000,30,0.473175,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,45,2,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,30-39
1,210000,29,0.0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,46,1,1,2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,20-29
1,20000,22,0.7014,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,47,2,1,2,0,0,2,-1,0,0,0,0,0,0,1,-1,0,0,20-29
0,380000,32,0.05895,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,49,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30-39
0,20000,24,0.87235,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,50,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
1,70000,42,0.5291714285714286,2,1,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,51,1,3,2,1,2,2,2,2,0,2,1,1,1,1,1,1,0,40-49
0,100000,43,0.61559,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,52,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40-49
0,310000,49,0.04343548387096774,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,53,2,2,1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,40-49
0,180000,25,0.2300111111111111,1,1,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,54,2,1,2,1,2,0,0,0,0,1,1,1,1,0,0,0,0,20-29
0,150000,29,0.30816,1,1,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,55,2,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,20-29
0,500000,45,0.00381,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,56,2,1,1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,40-49
0,180000,34,0.09103333333333333,0,0,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,57,2,3,1,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,30-39
0,180000,34,0.9771444444444444,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,58,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
0,200000,34,0.007935,1,1,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,59,2,1,2,-1,3,2,2,2,2,-1,-1,-1,1,1,1,1,1,30-39
1,500000,28,0.045696,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,61,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,70000,39,1.0114285714285711,0,0,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,62,1,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,30-39
1,50000,29,0.49973999999999996,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,63,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,20-29
1,50000,46,0.57436,0,-1,28718,29166,0,0,0,0,1000,0,0,0,0,0,64,2,2,1,0,0,0,-2,-2,-2,0,0,0,0,0,-1,-1,-1,40-49
0,130000,51,0.0007615384615384615,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,65,2,2,1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50-59
1,200000,57,0.762595,-2,-1,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,66,1,1,1,-2,-2,-2,-1,2,2,-2,-1,-1,-1,-1,-1,1,1,50-59
1,10000,56,0.2097,2,1,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,67,1,2,1,2,2,2,0,0,0,2,1,1,1,1,0,0,0,50-59
0,210000,30,0.0014285714285714286,0,1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,68,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,30-39
0,130000,29,-0.0014615384615384616,0,0,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,69,2,3,2,1,-2,-2,-1,2,-1,-2,-1,1,-1,-1,-1,1,-1,20-29
0,80000,31,0.00975,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,71,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30-39
1,320000,29,0.182084375,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,72,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,20-29
0,200000,32,0.045380000000000004,-1,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,73,2,2,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,1,-1,30-39
0,290000,37,0.0,0,0,0,0,3155,0,2359,0,0,3155,0,2359,0,0,74,2,1,2,1,-2,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,30-39
0,20000,24,0.73095,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,76,1,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,20-29
0,50000,25,0.8567600000000001,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,77,1,3,2,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,20-29
0,300000,45,0.0009699999999999999,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,78,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40-49
1,30000,22,0.9462333333333334,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,79,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
1,240000,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2,2,2,1,-2,-2,-2,-2,-2,-2,-1,1,-1,-1,-1,-1,-1,40-49
0,470000,33,0.35160425531914896,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,81,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
1,60000,30,0.4387333333333333,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,83,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
0,400000,44,0.3289875,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,84,2,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,40-49
0,50000,49,0.9781799999999999,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,85,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40-49
1,360000,45,0.0010833333333333333,0,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,87,2,1,1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,40-49
0,160000,32,0.0239125,0,0,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,88,2,2,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,30-39
0,130000,35,0.6254846153846154,0,0,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,89,2,1,1,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,30-39
0,20000,44,0.42915,2,1,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,90,1,3,2,2,2,0,0,0,2,2,1,1,1,0,0,0,1,40-49
1,200000,53,0.6909,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,91,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,50-59
0,280000,39,0.02687142857142857,-1,-1,7524,0,3968,3868,0,0,0,3968,0,0,0,0,92,2,1,2,-1,-1,-1,0,0,-2,-1,-1,-1,-1,-1,0,0,-1,30-39
0,100000,27,-0.02,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,93,2,1,2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,20-29
0,160000,37,0.0055,-1,-1,880,1602,840,840,0,0,1602,840,840,0,0,7736,94,2,2,1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,30-39
0,60000,23,0.7608,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,95,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,90000,35,0.9302777777777778,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,96,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
0,150000,27,0.5733933333333333,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,98,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,50000,22,0.37444,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,99,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
1,20000,38,0.89865,0,0,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,100,1,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,30-39
0,140000,32,0.0048,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,101,1,1,2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,30-39
0,380000,30,-0.00021315789473684208,-2,-1,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,102,2,1,2,-2,-2,-1,0,0,0,-2,-1,-1,-1,-1,0,0,0,30-39
1,50000,22,0.8939600000000001,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,104,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,60000,26,0.94475,2,2,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,105,2,2,2,2,2,2,2,2,0,2,1,1,1,1,1,1,0,20-29
0,70000,24,0.07971428571428571,-1,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,106,2,2,2,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,20-29
0,80000,36,0.07635,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,107,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30-39
0,350000,52,0.002037142857142857,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,108,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50-59
0,360000,35,-0.0002861111111111111,0,0,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,110,1,2,1,1,-2,-2,-2,-2,-2,-2,-1,1,-1,-1,-1,-1,-1,30-39
0,330000,31,0.3208454545454545,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,111,2,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,30-39
0,50000,47,0.26488,0,0,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,112,1,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,40-49
0,280000,41,0.4845464285714285,2,2,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,113,1,2,1,2,2,2,2,2,3,2,1,1,1,1,1,1,1,40-49
0,100000,24,0.52128,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,114,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,50000,41,0.3803,0,0,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,115,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40-49
1,30000,24,0.6066333333333334,0,0,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,116,1,1,2,-1,2,0,0,3,2,-1,-1,-1,1,0,0,1,1,20-29
0,240000,28,0.0013583333333333336,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,117,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20-29
1,80000,26,0.1753625,1,1,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,118,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,20-29
0,400000,34,0.04915,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,119,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30-39
0,240000,38,0.20939166666666667,0,0,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,120,2,2,2,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,30-39
1,50000,37,0.9200799999999999,2,2,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,121,1,3,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,30-39
1,450000,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,1,1,1,1,-2,-2,-2,-2,-2,-2,-1,1,-1,-1,-1,-1,-1,40-49
0,110000,48,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,2,1,1,1,-2,-2,-2,-2,-2,-2,-1,1,-1,-1,-1,-1,-1,40-49
0,20000,27,0.95575,0,0,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,125,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,20000,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,1,2,2,1,-2,-2,-2,-2,-2,-2,-1,1,-1,-1,-1,-1,-1,20-29
0,200000,52,0.550755,0,0,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,127,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50-59
1,180000,36,0.9096444444444444,0,0,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,128,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
1,50000,51,0.06694,0,0,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,129,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50-59
0,60000,55,1.0086833333333334,2,2,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,130,1,3,1,3,2,2,0,0,0,2,1,1,1,1,0,0,0,50-59
0,30000,23,0.13333333333333333,0,0,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,131,2,1,2,1,-2,-2,-2,-1,-1,-2,-1,1,-1,-1,-1,-1,-1,20-29
0,240000,41,0.0003958333333333333,0,0,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,132,1,1,2,1,-1,-1,0,0,-1,-1,-1,1,-1,-1,0,0,-1,40-49
0,420000,34,0.6034619047619048,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,133,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
0,30000,22,0.9484,0,0,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,135,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,240000,34,0.044475,0,1,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,136,1,2,1,0,0,0,2,2,2,0,0,0,0,0,1,1,1,30-39
0,150000,27,0.11629333333333333,0,0,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,137,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,210000,33,0.03412380952380952,0,0,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,138,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
1,50000,51,0.015040000000000001,-1,-1,752,300,5880,0,0,0,300,5880,0,0,0,0,139,2,3,1,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,50-59
0,50000,24,1.0160200000000001,0,0,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,140,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
1,240000,47,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,1,1,2,1,-2,-2,-2,-2,-2,-2,-1,1,-1,-1,-1,-1,-1,40-49
0,180000,28,0.01017777777777778,-1,-1,1832,0,832,332,416,416,0,416,332,500,3500,832,142,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20-29
0,50000,23,0.20262,2,1,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,143,1,2,2,1,2,2,2,0,0,2,1,1,1,1,1,0,0,20-29
0,170000,29,0.07152352941176471,-2,-2,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,144,1,2,2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,20-29
0,20000,29,0.05995,-1,-1,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,145,1,1,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,20-29
0,50000,28,0.09998,0,0,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,0,146,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,20-29
1,170000,27,0.1133470588235294,0,0,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0,147,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,200000,34,0.98618,1,1,197236,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,148,1,1,2,1,2,0,0,0,0,1,1,1,1,0,0,0,0,30-39
0,80000,23,0.1146,2,1,9168,10522,10205,9898,10123,12034,1650,0,0,379,2091,1,149,2,2,1,1,2,3,2,0,0,1,1,1,1,1,1,0,0,20-29
0,260000,60,-0.0042307692307692315,0,0,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,150,2,1,1,1,-2,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,60 up
0,140000,32,0.6187642857142858,0,0,86627,78142,68336,64648,58319,55251,3455,3110,5000,0,2100,2602,151,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,30-39
0,80000,25,0.53055,0,0,42444,55744,43476,41087,41951,31826,30000,3000,6000,8000,2000,14000,152,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,350000,41,0.0005942857142857143,0,0,208,2906,1000,630,0,0,2906,1000,630,0,0,0,153,1,1,2,1,-1,-1,-1,-1,-2,-1,-1,1,-1,-1,-1,-1,-1,40-49
0,30000,26,0.30046666666666666,0,0,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,1500,155,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-29
0,140000,34,0.17102857142857142,0,0,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,156,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
0,200000,37,0.5271,0,0,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,157,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
